aide - 0.17.3
python-crypt - 2.7.17
python-ctypes - 2.7.17
python-curses - 2.7.17
python-datetime - 2.7.17
python-db - 2.7.17
python-debugger - 2.7.17
python-decorator - 4.4.0
python-difflib - 2.7.17
python-distutils - 2.7.17
python-doctest - 2.7.17
python-email - 2.7.17
python-enum34 - 1.1.6
python-fcntl - 2.7.17
python-gdbm - 2.7.17
python-hotshot - 2.7.17
python-html - 2.7.17
python-idle - 2.7.17
python-image - 2.7.17
python-io - 2.7.17
python-ipy - 0.83
python-json - 2.7.17
python-lang - 2.7.17
python-logging - 2.7.17
python-mailbox - 2.7.17
python-math - 2.7.17
python-mime - 2.7.17
python-misc - 2.7.17
python-mmap - 2.7.17
python-modules - 2.7.17
python-multiprocessing - 2.7.17
python-netclient - 2.7.17
python-netserver - 2.7.17
python-networkx - 2.2
python-numbers - 2.7.17
python-pickle - 2.7.17
python-pkg-resources - 41.2.0
python-pkgutil - 2.7.17
python-plistlib - 2.7.17
python-pprint - 2.7.17
python-profile - 2.7.17
python-pydoc - 2.7.17
python-re - 2.7.17
python-resource - 2.7.17
python-robotparser - 2.7.17
python-runpy - 2.7.17
python-setuptools - 41.2.0
python-shell - 2.7.17
python-smtpd - 2.7.17
python-sqlite3 - 2.7.17
python-stringold - 2.7.17
python-subprocess - 2.7.17
python-syslog - 2.7.17
python-terminal - 2.7.17
python-textutils - 2.7.17
python-threading - 2.7.17
python-tkinter - 2.7.17
python-unittest - 2.7.17
python-unixadmin - 2.7.17
python-xml - 2.7.17
python-xmlrpc - 2.7.17
python-zlib - 2.7.17
python3-2to3 - 3.7.6
python3-asyncio - 3.7.6
python3-audio - 3.7.6
python3-codecs - 3.7.6
python3-compile - 3.7.6
python3-compression - 3.7.6
python3-core - 3.7.6
python3-crypt - 3.7.6
python3-ctypes - 3.7.6
python3-curses - 3.7.6
python3-datetime - 3.7.6
python3-db - 3.7.6
python3-debugger - 3.7.6
python3-difflib - 3.7.6
python3-distutils - 3.7.6
python3-doctest - 3.7.6
python3-email - 3.7.6
python3-fcntl - 3.7.6
python3-html - 3.7.6
python3-idle - 3.7.6
python3-image - 3.7.6
python3-io - 3.7.6
python3-json - 3.7.6
python3-logging - 3.7.6
python3-mailbox - 3.7.6
python3-math - 3.7.6
python3-mime - 3.7.6
python3-misc - 3.7.6
python3-mmap - 3.7.6
python3-modules - 3.7.6
python3-multiprocessing - 3.7.6
python3-netclient - 3.7.6
python3-netserver - 3.7.6
python3-numbers - 3.7.6
python3-pickle - 3.7.6
python3-pkgutil - 3.7.6
python3-plistlib - 3.7.6
python3-pprint - 3.7.6
python3-profile - 3.7.6
python3-pydoc - 3.7.6
python3-resource - 3.7.6
python3-shell - 3.7.6
python3-smtpd - 3.7.6
python3-sqlite3 - 3.7.6
python3-stringold - 3.7.6
python3-syslog - 3.7.6
python3-terminal - 3.7.6
python3-threading - 3.7.6
python3-tkinter - 3.7.6
python3-typing - 3.7.6
python3-unittest - 3.7.6
python3-unixadmin - 3.7.6
python3-venv - 3.7.6
python3-xml - 3.7.6
python3-xmlrpc - 3.7.6
qemu - 4.1.0
readline - 8.0
rng-tools - 6.7
rpm - 1:4.14.2.1
rsyslog - 8.1908.0
seccomp-test - 1.0.0.0
sed - 4.2.2
selinux-monitor - 1.0
selinux-python - 2.8
selinux-python-audit2allow - 2.8
selinux-python-chcat - 2.8
selinux-python-semanage - 2.8
selinux-python-sepolgen - 2.8
selinux-python-sepolgen-ifgen - 2.8
selinux-python-sepolicy - 2.8
semodule-utils-semodule-expand - 2.8
semodule-utils-semodule-link - 2.8
semodule-utils-semodule-package - 2.8
setools - 4.1.1
shadow - 4.6
shadow-base - 4.6
shadow-securetty - 4.6
sudo - 1.8.27
systemd - 1:243.2
systemd-analyze - 1:243.2
systemd-serialgetty - 1.0
systemd-vconsole-setup - 1:243.2
systemd-virt-utils - 1:243.2
tar - 1.32
tcpdump - 4.9.3
udev - 1:243.2
update-alternatives-opkg - 0.4.2
update-rc.d - 0.8
usbutils - 012
util-linux - 2.34
util-linux-agetty - 2.34
util-linux-blkid - 2.34
util-linux-fsck - 2.34
util-linux-libblkid - 2.34
util-linux-libmount - 2.34
util-linux-libuuid - 2.34
util-linux-mount - 2.34
util-linux-sulogin - 2.34
util-linux-umount - 2.34
vim - 8.1.1518
vim-vimrc - 8.1.1518
volatile-binds - 1.0
which - 2.21
xz - 5.2.4
yajl - 2.1.0
zlib - 1.2.11
